sector_id,sector_name,total_symbols,description
sector_001,Ações - Agronegócio e Alimentos,31,Ações - Agronegócio e Alimentos
sector_002,Ações - Construção Civil e Imóveis,32,Ações - Construção Civil e Imóveis
sector_003,Ações - Educação,5,Ações - Educação
sector_004,Ações - Energia Elétrica,49,Ações - Energia Elétrica
sector_005,Ações - Financeiro - Bancos,34,Ações - Financeiro - Bancos
sector_006,Ações - Financeiro - Fintechs/Pagamentos,13,Ações - Financeiro - Fintechs/Pagamentos
sector_007,Ações - Financeiro - Seguros,4,Ações - Financeiro - Seguros
sector_008,Ações - Mercado Global (NYSE/NASDAQ),48,Ações - Mercado Global (NYSE/NASDAQ)
sector_009,Ações - Mineração e Siderurgia,22,Ações - Mineração e Siderurgia
sector_010,Ações - Outros Setores Brasil,33,Ações - Outros Setores Brasil
sector_011,Ações - Papel e Celulose,7,Ações - Papel e Celulose
sector_012,Ações - Petroquímica e Química,6,Ações - Petroquímica e Química
sector_013,Ações - Petróleo e Gás,18,Ações - Petróleo e Gás
sector_014,Ações - Saneamento,11,Ações - Saneamento
sector_015,Ações - Saúde e Farmácia,29,Ações - Saúde e Farmácia
sector_016,Ações - Tecnologia,54,Ações - Tecnologia
sector_017,Ações - Telecomunicações,11,Ações - Telecomunicações
sector_018,Ações - Transporte e Logística,20,Ações - Transporte e Logística
sector_019,Ações - Varejo e Consumo,33,Ações - Varejo e Consumo
sector_020,BDR - Ações Internacionais,116,BDR - Ações Internacionais
sector_021,Commodities - Agronegócio,21,Commodities - Agronegócio
sector_022,Commodities - Café (BMF),7,Commodities - Café (BMF)
sector_023,Commodities - Energia e Petróleo,14,Commodities - Energia e Petróleo
sector_024,Commodities - Etanol (BMF),2,Commodities - Etanol (BMF)
sector_025,Commodities - Metais Preciosos,9,Commodities - Metais Preciosos
sector_026,Commodities - Ouro (BMF),2,Commodities - Ouro (BMF)
sector_027,Cripto - ETFs e Fundos,16,Cripto - ETFs e Fundos
sector_028,Cripto - Futuros (BMF),20,Cripto - Futuros (BMF)
crypto_letra_X,Cripto - Letra X,3,Cripto iniciadas pela letra X
crypto_letra_Z,Cripto - Letra Z,2,Cripto iniciadas pela letra Z
crypto_numeros,Cripto - Números,1,Cripto iniciadas por números
sector_029,Cripto - Spot,41,Cripto - Spot
sector_030,FII - CRI e Papel,37,FII - CRI e Papel
sector_031,FII - Diversificado,155,FII - Diversificado
sector_032,FII - Fundo de Fundos,6,FII - Fundo de Fundos
sector_033,FII - Lajes Corporativas e Shoppings,19,FII - Lajes Corporativas e Shoppings
sector_034,FII - Logístico e Industrial,19,FII - Logístico e Industrial
sector_035,FII - Saúde e Hospitais,5,FII - Saúde e Hospitais
sector_036,Moedas - Divisas Spot,31,Moedas - Divisas Spot
sector_037,Moedas - ETF Câmbio,4,Moedas - ETF Câmbio
sector_038,Moedas - Futuros Câmbio (BMF),22,Moedas - Futuros Câmbio (BMF)
sector_039,Moedas - Pares Cambiais,24,Moedas - Pares Cambiais
sector_040,Renda Fixa - Brasil,16,Renda Fixa - Brasil
sector_041,Renda Fixa - Cupom Cambial (BMF),58,Renda Fixa - Cupom Cambial (BMF)
sector_042,Renda Fixa - Cupom IPCA/IGP-M (BMF),48,Renda Fixa - Cupom IPCA/IGP-M (BMF)
sector_043,Renda Fixa - ETFs,14,Renda Fixa - ETFs
sector_044,Renda Fixa - Futuros Juros (BMF),56,Renda Fixa - Futuros Juros (BMF)
sector_045,Renda Fixa - Spreads DI (BMF),53,Renda Fixa - Spreads DI (BMF)
sector_046,Renda Fixa - Swaps (BMF),26,Renda Fixa - Swaps (BMF)
sector_047,Renda Fixa - Tesouro Direto,44,Renda Fixa - Tesouro Direto
sector_048,Taxas de Referência,16,Taxas de Referência
sector_049,Taxas de Referência - BOVESPA,434,Taxas de Referência - BOVESPA
sector_050,Índices - ETFs,54,Índices - ETFs
sector_051,Índices - Futuros (BMF),21,Índices - Futuros (BMF)
sector_052,Índices - Globais e Brasileiros,28,Índices - Globais e Brasileiros
